sta_code_h3;clc_2018_lvl1_dom_class;clc_2018_lvl1_1;clc_2018_lvl1_2;clc_2018_lvl1_3;clc_2018_lvl1_4;clc_2018_lvl1_5;clc_2018_lvl1_na;clc_2018_lvl2_dom_class;clc_2018_lvl2_11;clc_2018_lvl2_12;clc_2018_lvl2_13;clc_2018_lvl2_14;clc_2018_lvl2_21;clc_2018_lvl2_22;clc_2018_lvl2_23;clc_2018_lvl2_24;clc_2018_lvl2_31;clc_2018_lvl2_32;clc_2018_lvl2_33;clc_2018_lvl2_41;clc_2018_lvl2_42;clc_2018_lvl2_51;clc_2018_lvl2_52;clc_2018_lvl2_na;clc_2018_lvl3_dom_class;clc_2018_lvl3_111;clc_2018_lvl3_112;clc_2018_lvl3_121;clc_2018_lvl3_122;clc_2018_lvl3_123;clc_2018_lvl3_124;clc_2018_lvl3_131;clc_2018_lvl3_132;clc_2018_lvl3_133;clc_2018_lvl3_141;clc_2018_lvl3_142;clc_2018_lvl3_211;clc_2018_lvl3_212;clc_2018_lvl3_213;clc_2018_lvl3_221;clc_2018_lvl3_222;clc_2018_lvl3_223;clc_2018_lvl3_231;clc_2018_lvl3_241;clc_2018_lvl3_242;clc_2018_lvl3_243;clc_2018_lvl3_244;clc_2018_lvl3_311;clc_2018_lvl3_312;clc_2018_lvl3_313;clc_2018_lvl3_321;clc_2018_lvl3_322;clc_2018_lvl3_323;clc_2018_lvl3_324;clc_2018_lvl3_331;clc_2018_lvl3_332;clc_2018_lvl3_333;clc_2018_lvl3_334;clc_2018_lvl3_335;clc_2018_lvl3_411;clc_2018_lvl3_412;clc_2018_lvl3_421;clc_2018_lvl3_422;clc_2018_lvl3_423;clc_2018_lvl3_511;clc_2018_lvl3_512;clc_2018_lvl3_521;clc_2018_lvl3_522;clc_2018_lvl3_523;clc_2018_lvl3_na;clc_1990_lvl1_dom_class;clc_1990_lvl1_1;clc_1990_lvl1_2;clc_1990_lvl1_3;clc_1990_lvl1_4;clc_1990_lvl1_5;clc_1990_lvl1_na;clc_1990_lvl2_dom_class;clc_1990_lvl2_11;clc_1990_lvl2_12;clc_1990_lvl2_13;clc_1990_lvl2_14;clc_1990_lvl2_21;clc_1990_lvl2_22;clc_1990_lvl2_23;clc_1990_lvl2_24;clc_1990_lvl2_31;clc_1990_lvl2_32;clc_1990_lvl2_33;clc_1990_lvl2_41;clc_1990_lvl2_42;clc_1990_lvl2_51;clc_1990_lvl2_52;clc_1990_lvl2_na;clc_1990_lvl3_dom_class;clc_1990_lvl3_111;clc_1990_lvl3_112;clc_1990_lvl3_121;clc_1990_lvl3_122;clc_1990_lvl3_123;clc_1990_lvl3_124;clc_1990_lvl3_131;clc_1990_lvl3_132;clc_1990_lvl3_133;clc_1990_lvl3_141;clc_1990_lvl3_142;clc_1990_lvl3_211;clc_1990_lvl3_212;clc_1990_lvl3_213;clc_1990_lvl3_221;clc_1990_lvl3_222;clc_1990_lvl3_223;clc_1990_lvl3_231;clc_1990_lvl3_241;clc_1990_lvl3_242;clc_1990_lvl3_243;clc_1990_lvl3_244;clc_1990_lvl3_311;clc_1990_lvl3_312;clc_1990_lvl3_313;clc_1990_lvl3_321;clc_1990_lvl3_322;clc_1990_lvl3_323;clc_1990_lvl3_324;clc_1990_lvl3_331;clc_1990_lvl3_332;clc_1990_lvl3_333;clc_1990_lvl3_334;clc_1990_lvl3_335;clc_1990_lvl3_411;clc_1990_lvl3_412;clc_1990_lvl3_421;clc_1990_lvl3_422;clc_1990_lvl3_423;clc_1990_lvl3_511;clc_1990_lvl3_512;clc_1990_lvl3_521;clc_1990_lvl3_522;clc_1990_lvl3_523;clc_1990_lvl3_na
A105003001;2;8.36;52.71;38.94;0.00;0.00;0.00;31;7.81;0.32;0.22;0.00;31.40;0.65;3.77;16.89;38.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;211;0.10;7.71;0.32;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;31.40;0.00;0.00;0.00;0.65;0.00;3.77;0.00;16.22;0.67;0.00;29.57;0.17;9.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;6.56;54.42;39.01;0.00;0.00;0.00;31;6.10;0.31;0.15;0.00;30.43;1.09;4.97;17.93;37.34;1.68;0.00;0.00;0.00;0.00;0.00;0.00;211;0.11;6.00;0.31;0.00;0.00;0.00;0.15;0.00;0.00;0.00;0.00;30.43;0.00;0.00;0.00;1.09;0.00;4.97;0.00;17.43;0.50;0.00;27.27;0.00;10.07;0.00;0.00;0.00;1.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A107020001;2;5.35;79.86;14.78;0.00;0.00;0.00;21;5.35;0.00;0.00;0.00;58.75;0.81;1.10;19.21;14.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;5.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.75;0.00;0.00;0.00;0.81;0.00;1.10;0.00;18.45;0.76;0.00;14.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2;3.32;81.87;14.81;0.00;0.00;0.00;21;3.32;0.00;0.00;0.00;58.59;0.91;1.08;21.30;14.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;211;0.00;3.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.59;0.00;0.00;0.00;0.91;0.00;1.08;0.00;20.99;0.31;0.00;14.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A112020001;2;6.99;56.89;35.35;0.00;0.75;0.02;31;6.54;0.00;0.00;0.45;33.90;0.00;6.27;16.71;35.35;0.00;0.00;0.00;0.00;0.75;0.00;0.02;211;0.00;6.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.45;33.90;0.00;0.00;0.00;0.00;0.00;6.27;0.00;14.66;2.05;0.00;26.06;1.69;7.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.00;0.00;0.02;2;4.94;59.05;35.27;0.00;0.75;0.00;31;4.54;0.00;0.00;0.40;29.77;0.00;5.56;23.72;33.29;1.97;0.00;0.00;0.00;0.75;0.00;0.00;211;0.00;4.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;29.77;0.00;0.00;0.00;0.00;0.00;5.56;0.00;21.65;2.07;0.00;27.23;1.65;4.42;0.00;0.00;0.00;1.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.00;0.00;0.00
A116003002;2;7.90;59.68;32.25;0.00;0.16;0.00;21;7.44;0.19;0.18;0.09;39.24;0.52;4.10;15.83;32.21;0.04;0.00;0.00;0.00;0.16;0.00;0.00;211;0.04;7.40;0.15;0.04;0.00;0.00;0.12;0.06;0.00;0.00;0.09;39.24;0.00;0.00;0.00;0.52;0.00;4.10;0.00;14.73;1.10;0.00;26.80;0.48;4.94;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.00;2;5.81;61.80;32.24;0.00;0.16;0.00;21;5.48;0.15;0.09;0.08;37.45;0.81;4.65;18.88;31.21;1.03;0.00;0.00;0.00;0.16;0.00;0.00;211;0.04;5.45;0.15;0.00;0.00;0.00;0.09;0.00;0.00;0.00;0.08;37.45;0.00;0.00;0.00;0.81;0.00;4.65;0.00;18.04;0.84;0.00;26.22;0.41;4.58;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.00
A140202001;3;0.00;0.97;99.03;0.00;0.00;0.00;31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.97;91.56;7.47;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.97;0.00;0.00;56.88;0.91;33.77;7.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0.00;0.97;99.03;0.00;0.00;0.00;31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.97;90.04;8.99;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.97;0.00;0.00;55.51;0.92;33.61;8.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A202030001;3;2.15;15.45;82.40;0.00;0.00;0.00;31;2.15;0.00;0.00;0.00;0.00;0.00;10.20;5.25;66.49;15.04;0.87;0.00;0.00;0.00;0.00;0.00;312;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.20;0.00;0.00;5.25;0.00;7.04;52.79;6.66;12.37;2.67;0.00;0.00;0.00;0.00;0.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;2.03;15.66;82.31;0.00;0.00;0.00;31;2.03;0.00;0.00;0.00;0.00;0.00;10.72;4.94;62.40;19.34;0.57;0.00;0.00;0.00;0.00;0.00;312;0.00;2.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.72;0.00;0.68;4.27;0.00;7.04;48.30;7.06;14.79;3.77;0.00;0.78;0.00;0.00;0.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A204010101;3;4.19;16.48;79.33;0.00;0.00;0.00;31;3.85;0.34;0.00;0.00;1.70;0.59;7.86;6.33;68.93;10.22;0.18;0.00;0.00;0.00;0.00;0.00;312;0.12;3.73;0.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.70;0.00;0.00;0.59;0.00;0.00;7.86;0.00;4.01;2.32;0.00;14.56;33.34;21.02;8.39;1.83;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;3.70;16.63;79.67;0.00;0.00;0.00;31;3.38;0.32;0.00;0.00;1.73;0.57;8.48;5.85;66.38;13.16;0.12;0.00;0.00;0.00;0.00;0.00;312;0.12;3.26;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.73;0.00;0.00;0.57;0.00;0.00;8.48;0.00;4.18;1.67;0.00;14.74;31.48;20.17;8.82;2.06;0.00;2.29;0.00;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A211030001;3;2.96;31.60;65.44;0.00;0.00;0.00;31;2.96;0.00;0.00;0.00;0.00;0.00;23.88;7.72;61.03;4.28;0.14;0.00;0.00;0.00;0.00;0.00;312;0.00;2.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.88;0.00;1.40;6.32;0.00;5.18;45.90;9.95;0.00;4.28;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;2.76;31.44;65.80;0.00;0.00;0.00;31;2.76;0.00;0.00;0.00;0.00;0.00;24.25;7.19;55.05;10.76;0.00;0.00;0.00;0.00;0.00;0.00;312;0.00;2.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.25;0.00;3.35;3.84;0.00;5.19;41.33;8.53;0.00;4.16;0.00;6.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
A212020002;3;2.76;31.18;65.76;0.04;0.26;0.00;31;2.76;0.00;0.00;0.00;0.41;0.00;23.43;7.34;61.71;3.37;0.67;0.04;0.00;0.26;0.00;0.00;312;0.00;2.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.41;0.00;0.00;0.00;0.00;0.00;23.43;0.00;2.97;4.37;0.00;4.88;41.31;15.53;0.26;3.11;0.00;0.00;0.00;0.00;0.67;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00;3;2.51;32.17;65.02;0.04;0.26;0.00;31;2.51;0.00;0.00;0.00;0.00;0.00;24.21;7.96;56.30;8.72;0.00;0.04;0.00;0.26;0.00;0.00;312;0.00;2.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.21;0.00;5.23;2.73;0.00;4.27;37.76;14.27;0.64;2.16;0.00;5.92;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00
A231020001;3;8.14;17.32;74.54;0.00;0.00;0.00;31;8.14;0.00;0.00;0.00;0.00;0.29;4.80;12.23;74.50;0.03;0.00;0.00;0.00;0.00;0.00;0.00;312;0.00;8.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.00;4.80;0.00;12.23;0.00;0.00;27.41;28.80;18.30;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;7.28;17.48;75.24;0.00;0.00;0.00;31;7.28;0.00;0.00;0.00;0.00;0.99;4.49;11.99;73.95;1.30;0.00;0.00;0.00;0.00;0.00;0.00;311;0.00;7.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.29;0.00;4.49;0.00;11.99;0.00;0.00;29.19;27.97;16.78;0.04;0.45;0.00;0.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
