sta_code_h3;sta_label;sta_label_add;sta_type;sta_test_station;sta_monitor;sta_code_h2;sta_code_child;sta_code_parent;sta_comment;sta_city;sta_crs;sta_epsg;sta_kp;sta_altitude_staff_gauge;sta_date_altitude_ref;sta_date_start;sta_date_end;sta_publication_right;sta_time_data_gap;sta_time_discontinuity;sta_impact_local;sta_display_level;sta_dual_staff_gauge;sta_qual_lowflow;sta_qual_meanflow;sta_qual_highflow;sta_purpose;sta_comment_impact_local;sta_date_update;sit_code_h3;sta_main_prod_name;sta_main_prod_name_short;sta_main_prod_code;sta_x_l2e;sta_y_l2e;sta_x_l93;sta_y_l93;sta_x_w84;sta_y_w84;sta_x_l2e_snap;sta_y_l2e_snap;sta_x_l93_snap;sta_y_l93_snap;sta_x_w84_snap;sta_y_w84_snap;sta_area_snap;sta_altitude_snap;sta_territory
A105003001;L'Ill à Altkirch;NA;Standard station;FALSE;TRUE;A1050310;NA;NA;Mise à l'heure TU le 05/11/2009. - Remplacement échelle en août 2008 (même côte). - Nivellé par Faber/Schaller en octobre 2010 : 282.110mNGF;Altkirch (68004);Lambert 93;2154;NA;282170;2022-02-24 08:21:00;1962-11-20 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-07-13 13:33:00;A1050030;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;968230.452406692;2303321.08663138;1018209;6733620;7.23884850106126;47.6260748567675;968613;2303249;1018591;6733545;7.24387;47.62522;238.2;285.0;Metropolitan France (mainland)
A107020001;Le Thalbach à Wittersdorf;NA;Standard station;FALSE;TRUE;A1072010;NA;NA;Nivellement de juillet 2002, géomètre Faber-Schaller à Sélestat. Altitude = 280.289mNGF - Mise à l'heure TU le 05/11/2009;Wittersdorf (68377);Lambert 93;2154;NA;280289;2020-12-14 11:19:00;1980-11-14 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-01-27 08:48:00;A1070200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;970986.751346382;2303075.80534214;1020961;6733351;7.27524265533157;47.6223222868195;971013;2303049;1020987;6733324;7.27557;47.62207;70.9;280.0;Metropolitan France (mainland)
A112020001;La Largue à Dannemarie;NA;Standard station;FALSE;TRUE;A1122010;NA;NA;Arrêt des observations le 10/01/2008. - Nivellement du zéro de l'échelle limnimétrique établi en juillet 2002 par le géomètre Faber-Schaller à Sélestat. Attention !! : la cote du zéro annoncée avant juillet 2002 est approximative.... Prendre contact avec le gestionnaire de la station pour valider la cote du zéro avant cette date;Dannemarie (68068);Lambert 93;2154;NA;NA;NA;1962-10-09 00:00:00;2008-01-10 11:20:00;Public;1440;1440;Low flows only;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-05-12 07:42:00;A1120200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;958394.573011247;2303336.81723117;1008381;6733721;7.10823994240872;47.6316561579574;958413;2303349;1008400;6733733;7.10849;47.63176;139.8;297.8;Metropolitan France (mainland)
A116003002;L'Ill à Didenheim;NA;Standard station;FALSE;TRUE;A1080330;NA;NA;Echelle et pont arrachés en mai 1983. Seuil rehaussé en mai 1988. - Echelle définitive le 16/10/1985. Nivellement par Faber/Schaller en 2009. - Seuil abaissé le 17/10/2017 - Mise à l'heure TU le 05/11/2009;Didenheim (68070);Lambert 93;2154;NA;242780;2018-12-05 07:24:00;1973-10-04 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-06-03 15:00:00;A1160030;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;972665.889630497;2313813.79144044;1022732;6744066;7.30656250849709;47.717757998077;972613;2313749;1022679;6744002;7.3058;47.71721;668.5;242.0;Metropolitan France (mainland)
A140202001;La Thur à Wildenstein;NA;Standard station;FALSE;TRUE;A1402020;NA;NA;Passage à l'heure TU le 29/10/2009. - Nivellé par Faber/Schaller en octobre 2009, altitude = 568.953mNGF;Wildenstein (68370);Lambert 93;2154;NA;568953;2020-12-14 11:20:00;1979-10-16 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-01-27 08:48:00;A1402020;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;945075.378338614;2340960.48384707;995398;6771431;6.96075326999635;47.9765767903444;945013;2340949;995336;6771420;6.95991;47.97651;7.8;567.0;Metropolitan France (mainland)
A202030001;La Petite Fecht à Stosswihr [Village];NA;Standard station;FALSE;TRUE;A2023030;NA;NA;Nivellement du zéro de l'échelle limnimétrique établi en juillet 2002 par le géomètre Faber-Schaller à Sélestat. - Cote 0.00m de l'échelle inchangée depuis le début des observations. - Altitude = 430.592m NGF - Passage en heure TU le 03/11/2009;Stosswihr (68329);Lambert 93;2154;NA;430592;2018-06-29 10:07:00;1976-08-27 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-07-13 13:30:00;A2020300;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;955751.284357472;2349980.76351071;1006144;6780352;7.11080399256137;48.0518119250954;955713;2349949;1006105;6780321;7.11027;48.05155;44.1;432.0;Metropolitan France (mainland)
A204010101;La Fecht à Wintzenheim [La Forge];NA;Standard station;FALSE;TRUE;A2042010;NA;NA;Construction d'un seuil de stabilisation du lit de la Fecht : entre avril et novembre 1957. - Débits validés à partir de novembre 1957 seulement;Wintzenheim (68374);Lambert 93;2154;NA;278956;2013-11-18 16:16:00;1955-10-06 00:00:00;2007-01-09 09:15:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-05-12 07:42:00;A2040101;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;964698.997066862;2351825.72939972;1015101;6782118;7.2321186010878;48.0634254986872;964713;2351849;1015115;6782141;7.23233;48.06363;211.4;278.2;Metropolitan France (mainland)
A211030001;La Béhine à Lapoutroie;NA;Standard station;FALSE;TRUE;A2113010;NA;NA;Nivellement du zéro de l'échelle limnimétrique établi en juillet 2002 par le géomètre Faber-Schaller à Sélestat. - Cote 0.00m de l'échelle inchangée depuis le début des observations. Altitude = 410.670m NGF - Passage en heure TU le 03/11/2009;Lapoutroie (68175);Lambert 93;2154;NA;410670;2021-12-24 10:28:00;1983-11-14 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting - Qualitative monitoring;NA;2022-07-13 13:29:00;A2110300;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;959570.126967027;2361286.30308908;1010058;6791616;7.1712454541545;48.1511856538044;959613;2361249;1010101;6791579;7.17179;48.15083;38.7;412.0;Metropolitan France (mainland)
A212020002;La Weiss à Kaysersberg - Fréland-Gare [Ancienne];Fréland-Gare [Ancienne];Standard station;FALSE;TRUE;A2122010;NA;NA;Station arrêtée en janvier 2007, dans le cadre du programme R.HY.AL, suite à la mise en service en août 2006 de la station de Kaysersberg Rapperie (A2120200) située plus en aval;Kaysersberg (68162);Lambert 93;2154;NA;318000;2020-12-14 11:20:00;1957-01-01 00:00:00;2007-01-09 11:20:00;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-01-27 08:48:00;A2120200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;962816.537937054;2362093.05409534;1013309;6792394;7.21545714553466;48.156623607731;962713;2362049;1013205;6792351;7.21403;48.15629;117.8;319.4;Metropolitan France (mainland)
A231020001;Le Giessen à Thanvillé;NA;Standard station;FALSE;TRUE;A2312020;NA;NA;Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Thanvillé (67490);Lambert 93;2154;NA;227510;2022-01-27 08:43:00;1984-01-01 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting - Qualitative monitoring;NA;2022-07-13 13:28:00;A2310200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;971584.267689223;2380728.8155713;1022232;6810940;7.34900374011154;48.3188973274317;971513;2380749;1022161;6810961;7.34806;48.31912;101.1;229.0;Metropolitan France (mainland)
