sta_code_h3;top_altitude_mean;top_slo_mean;top_dist_outlet_mean;top_itopo_mean;top_slo_ori_n;top_slo_ori_ne;top_slo_ori_e;top_slo_ori_se;top_slo_ori_s;top_slo_ori_sw;top_slo_ori_w;top_slo_ori_nw;top_drainage_density;top_mor_form_factor_horton;top_mor_form_factor_square;top_mor_shape_factor;top_mor_compact_coef;top_mor_circ_ratio;top_mor_elong_ratio_circ;top_mor_elong_ratio_catchment;top_mor_relief_ratio;top_slo_flat;top_slo_gentle;top_slo_moderate;top_slo_strong;top_slo_steep;top_slo_very_steep
A105003001;433;4.48;18.67;13.1;19.61;17.205;11.436;7.54;10.857;9.862;9.471;14.018;0.70013;0.1508;0.2974;6.6303;2.0691;0.2336;0.4382;0.3884;0.0136;24.938;44.704;16.814;11.781;1.759;0.004
A107020001;372;3.05;8.3;12.1;21.835;19.509;6.935;6.78;11.094;11.319;8.937;13.589;0.48877;0.2252;0.272;4.4413;2.1636;0.2136;0.5354;0.4745;0.0113;27.671;58.74;10.925;2.664;0;0
A112020001;442;3.92;16.23;12.7;15.976;18.251;13.322;7.541;5.509;9.222;12.735;17.443;0.52954;0.1543;0.2245;6.4821;2.3813;0.1763;0.4432;0.3928;0.0148;31.48;46.004;11.741;8.9;1.875;0
A116003002;390;3.74;29.4;14.3;16.94;18.309;12.783;9.106;9.994;9.579;9.49;13.799;0.57695;0.2149;0.2778;4.6529;2.1407;0.2182;0.5231;0.4636;0.0104;30.748;46.728;13.666;7.792;1.065;0.001
A140202001;951;23.83;2.28;7.6;0.382;12.739;16.561;12.229;12.357;14.013;29.427;2.293;0.60942;0.4346;0.5436;2.301;1.5304;0.427;0.7439;0.6592;0.1722;0;1.911;2.675;17.58;55.541;22.293
A202030001;874;16.32;5.29;9.8;11.121;12.324;17.794;18.679;18.157;11.053;6.06;4.812;0.45776;0.5703;0.5094;1.7536;1.5809;0.4001;0.8521;0.7552;0.1044;0.704;3.541;8.261;44.485;38.765;4.244
A204010101;768;16.79;14.22;11.3;12.292;13.763;16.966;14.946;11.36;8.223;10.04;12.41;0.45564;0.3195;0.4637;3.1298;1.6571;0.3642;0.6378;0.5652;0.0417;2.631;4.665;7.106;35.035;46.835;3.728
A211030001;855;15.03;6.29;9.7;11.148;8.976;16.994;17.796;10.76;8.639;7.243;18.443;0.47043;0.2263;0.3944;4.4186;1.7966;0.3098;0.5368;0.4757;0.0625;0.207;4.139;9.39;47.31;38.645;0.31
A212020002;795;14.9;8.53;10.8;10.67;11.654;18.36;17.155;10.22;7.419;10.025;14.498;0.50481;0.4053;0.5033;2.4676;1.5906;0.3953;0.7183;0.6366;0.0576;0.492;5.314;10.059;45.955;37.467;0.713
A231020001;504;14.31;9.55;10.8;15.615;13.558;10.245;15.645;18.493;10.611;7.071;8.762;0.46401;0.3394;0.498;2.9461;1.599;0.3911;0.6574;0.5826;0.049;2.136;10.562;13.4;35.028;38.123;0.752
A234021001;601;17.34;9.22;10.6;15.178;13.377;13.236;13.443;10.169;7.739;10.722;16.135;0.46943;0.3149;0.4012;3.176;1.7814;0.3151;0.6332;0.5611;0.0519;0.722;4.156;7.129;34.043;51.22;2.73
A251020001;655;13.12;8.4;10;13.775;11.858;18.651;23.385;10.485;9.065;4.97;7.811;0.82752;0.1955;0.2959;5.1146;2.0745;0.2324;0.4989;0.4422;0.0602;0.757;6.367;14.793;52.473;25.231;0.379
A270011001;606;9.52;6.94;10.3;13.935;13.1;15.11;14.014;12.135;6.759;9.473;15.475;0.73821;0.2679;0.4291;3.7328;1.7226;0.337;0.584;0.5176;0.0435;4.541;21.868;24.922;35.517;12.944;0.209
A273011002;628;12.69;15.64;11.7;14.529;11.953;11.922;12.221;11.056;11.19;11.418;15.711;0.50358;0.2587;0.4736;3.8659;1.6397;0.372;0.5739;0.5086;0.0285;2.37;11.302;15.832;42.756;27.375;0.366
A284020001;349;7.3;15.53;12.2;15.664;14.305;16.245;16.538;10.371;6.257;7.365;13.257;0.50059;0.1617;0.313;6.1851;2.017;0.2458;0.4537;0.4021;0.0249;13.041;34.118;21.095;22.813;8.724;0.21
