# Station code                            : K287191001
# Hydrological data producer              : DREAL Centre-Val de Loire
# Hydrological data extraction            : 2022-11-30
# Hydrological data source                : https://www.hydro.eaufrance.fr/
# Hydrometeorological model chain producer: Météo-France (SIM2: SAFRAN climatic reanalysis and ISBA land surface model)
# Hydrometeorological model chain version : 2022-12-31
# Hydrometeorological model chain source  : https://meteo.data.gouv.fr/
tsd_date;tsd_q_l;tsd_q_mm;tsd_val_s;tsd_val_q;tsd_val_m;tsd_val_c;tsd_val_i;tsd_prec;tsd_prec_solid_frac;tsd_temp;tsd_pet_ou;tsd_pet_pe;tsd_pet_pm;tsd_wind;tsd_humid;tsd_rad_dli;tsd_rad_ssi;tsd_swi_gr;tsd_swi_isba;tsd_swe_isba;tsd_temp_min;tsd_temp_max
19700101;9550;1.038;16;20;10;0;1;1;0.8;-5.5;0;0.1;0.1;1.2;2.6;2412.5;149.4;0.749;0.928;29.64;-6;-4.9
19700102;8350;0.907;16;20;10;0;1;0;0;-7.1;0;0;0;1.4;2;2162.3;256.8;0.747;0.925;30.43;-7.7;-4.6
19700103;6800;0.739;16;20;10;0;1;1;0.74;-6;0;0;0;1.6;2;1908.2;746.3;0.746;0.923;30.6;-10.8;1.8
19700104;7650;0.831;16;20;10;0;1;6.5;0;4;0.4;0.6;0.4;3;4.6;2797.2;82;0.752;0.927;28.51;-3.6;8.5
19700105;16700;1.815;16;20;10;0;1;3.4;0.33;1.1;0.3;0.4;0.3;2.9;4.2;2761.9;104.6;0.754;0.944;24.59;-3.5;5.9
19700106;21400;2.326;16;20;10;0;1;0;0;-5.9;0;0.1;0.1;1.9;2.2;1872;666.1;0.751;0.943;24.7;-7.4;-2.8
19700107;13900;1.511;16;20;10;0;1;0;0;-6.6;0;0;0;1.4;2;1921.6;415.3;0.75;0.941;24.73;-8.5;-0.7
19700108;11600;1.261;16;20;10;0;1;0;0;2.7;0.3;1.1;0.6;5;3.8;2614.6;81.5;0.748;0.939;24.23;-6.4;7.5
19700109;15000;1.63;16;20;10;0;1;0;0;7.6;0.6;2.1;1.2;6.2;5.1;2850.5;144.6;0.742;0.938;21.53;5.8;8.5
19700110;21400;2.326;16;20;10;0;1;0;0;8.7;0.6;2.1;1.3;5.5;5.5;2911.7;353.2;0.738;0.94;16.29;7;10.9
19700111;25900;2.815;16;20;10;0;1;14.4;0.02;5.6;0.5;1.1;0.7;4.8;5;2815.5;173.4;0.758;0.957;13.08;2.6;7.7
19700112;32700;3.554;16;20;10;0;1;0;0;4;0.4;0.3;0.2;3;4.5;2525.2;296.6;0.755;0.982;10.84;2.4;6.4
19700113;33100;3.597;16;20;10;0;1;0;0;2.8;0.4;0.1;0.1;2.1;4.1;2416.3;280.2;0.749;0.98;10.18;-0.3;5.3
19700114;27300;2.967;16;20;10;0;1;0.9;0;6.4;0.5;0.9;0.6;3.8;4.9;2624.4;251;0.748;0.979;9.09;3.9;8.7
19700115;24000;2.608;16;20;10;0;1;2.8;0.21;5.1;0.5;0.6;0.5;1.7;5.1;2836.4;207.8;0.748;0.984;7.56;4.6;6
19700116;22500;2.445;16;20;10;0;1;0.3;0.2;1.5;0.3;0.4;0.3;1.6;3.9;2616.6;354.3;0.748;0.987;7.3;0.4;3.6
19700117;20400;2.217;16;20;10;0;1;0;0;-0.7;0.2;0.3;0.2;1.1;3.3;2409.5;285.3;0.745;0.984;7.19;-1.6;1.5
19700118;18000;1.956;16;20;10;0;1;3.3;0.17;0.6;0.3;0.5;0.4;1.2;3.6;2674.5;220.9;0.747;0.983;7.19;-2.1;2.8
19700119;17700;1.924;16;20;10;0;1;0;0;3.5;0.4;0.2;0.2;0.9;4;2322.1;580;0.743;0.986;7.1;1.3;6.3
19700120;17700;1.924;16;20;10;0;1;4;0.05;1.5;0.3;0;0;1.2;3.7;2274.1;209.9;0.746;0.984;7.04;-1.9;3.6
19700121;16700;1.815;16;20;10;0;1;1.9;0.37;3;0.4;0.3;0.3;1.1;4.8;2745.7;240.4;0.747;0.994;7.15;1.6;4.7
19700122;17300;1.88;16;20;10;0;1;0.7;0.52;1.5;0.3;0.1;0.1;0.9;4.2;2507.7;257.1;0.744;0.995;7.25;0.6;2.8
19700123;17000;1.848;16;20;10;0;1;0.1;0;2.9;0.4;0.2;0.2;2.1;3.8;2408.5;217.4;0.741;0.991;7.22;-0.5;5.2
19700124;15300;1.663;16;20;10;0;1;0.2;0.03;4;0.5;0.6;0.4;2.1;4.2;2656.3;215;0.737;0.986;7.27;2.1;5.5
19700125;14400;1.565;16;20;10;0;1;0.3;0;5.1;0.5;0.4;0.3;2.5;4.6;2584.4;186.7;0.734;0.981;7.26;1.9;7
19700126;13100;1.424;16;20;10;0;1;3.1;0.01;7.2;0.6;1.1;0.8;3.4;5.5;2964.5;96.1;0.737;0.981;6.63;6.2;7.9
19700127;13400;1.456;16;20;10;0;1;0;0;4;0.5;0.3;0.2;1;4.9;2774.6;88.8;0.733;0.984;5.78;3.3;5.3
19700128;13400;1.456;16;20;10;0;1;0;0;1.9;0.4;0.2;0.2;0.8;4.1;2263.6;674.7;0.728;0.979;5.43;1.2;4.6
19700129;12400;1.348;16;20;10;0;1;2.6;0.07;3;0.4;0.5;0.4;1.5;4.1;2554.6;422.2;0.731;0.975;5.28;-1.6;5.6
19700130;12400;1.348;16;20;10;0;1;19.2;0.3;5.1;0.6;0.9;0.6;3.1;4.8;2814.6;344.4;0.757;0.992;5.76;4.4;6.5
