year,P_mm,Q_mm,PET_mm,T_C
1990,960.7,226.246,619.1,8.463732078853047
1991,834.6,293.624,588.2,7.487177419354839
1992,1244.1,498.947,601.9,7.996314423433446
1993,1079.1,320.624,591.7,7.643504224270353
1994,1302.3,607.47,617.1,8.515105606758832
1995,1075.9,447.61199999999997,481.6,7.050705473614261
1996,1127.5,407.464,558.0,7.07995025336794
1997,827.0,200.121,620.5,8.622249103942652
1998,1032.7,321.587,595.0,7.677740015360983
1999,1272.0,502.12199999999996,607.7,7.967361751152073
2000,1036.7,367.14,608.0,8.312673340748981
2001,1199.0,468.441,600.1,7.806704429083461
2002,1096.0,303.48,608.0,8.493676395289297
2003,690.8,316.826,240.0,4.413257488479263
2004,1165.8,435.721,588.2,7.633517488567544
2005,946.1,472.923,456.59999999999997,6.282544546850998
2006,935.7,268.756,624.1,9.264692780337942
2007,1251.6000000000001,402.308,603.4,8.000906938044034
2008,1330.3,517.468,587.7,7.677113768384625
2009,953.4,304.017,625.9,8.284781105990783
2010,1110.2,404.867,583.2,7.015965181771634
2011,1000.1,246.644,633.0,8.915049923195085
2012,1099.9,409.14300000000003,617.5,8.030233592880979
2013,1274.0,587.692,582.5,7.462428315412186
2014,1262.0,560.02,619.1999999999999,8.87517345110087
2015,820.2,303.628,652.3,9.095620839733742
2016,1083.0,392.473,618.3,8.583129712025707
2017,963.8,284.4,646.6,8.706593701996928
2018,873.6,386.413,660.5,9.330833973374295
2019,966.8,298.62,647.1,9.123001792114694
2020,883.4,245.159,665.2,9.707288036089482
