date,P_mm,Q_mm,PET_mm,T_C,year,month,keep_month
1990-01-01,0.6,0.274,0.3,1.9,1990,1,True
1990-01-02,0.2,0.274,0.3,2.7,1990,1,True
1990-01-03,0.0,0.321,0.3,1.1,1990,1,True
1990-01-04,0.0,0.297,0.2,-0.4,1990,1,True
1990-01-05,0.0,0.274,0.2,-0.7,1990,1,True
1990-01-06,0.0,0.239,0.2,0.1,1990,1,True
1990-01-07,0.9,0.239,0.3,1.7,1990,1,True
1990-01-08,2.5,0.239,0.3,3.0,1990,1,True
1990-01-09,0.0,0.239,0.3,1.3,1990,1,True
1990-01-10,0.0,0.297,0.2,-0.5,1990,1,True
1990-01-11,0.0,0.297,0.2,-1.1,1990,1,True
1990-01-12,0.0,0.215,0.2,-0.8,1990,1,True
1990-01-13,0.0,0.215,0.2,-1.6,1990,1,True
1990-01-14,1.3,0.215,0.2,-0.4,1990,1,True
1990-01-15,0.0,0.215,0.3,0.3,1990,1,True
1990-01-16,0.0,0.239,0.4,3.2,1990,1,True
1990-01-17,0.8,0.239,0.4,2.3,1990,1,True
1990-01-18,0.5,0.239,0.2,-0.2,1990,1,True
1990-01-19,0.0,0.215,0.1,-3.1,1990,1,True
1990-01-20,0.0,0.179,0.2,-1.3,1990,1,True
1990-01-21,0.0,0.179,0.2,-2.0,1990,1,True
1990-01-22,0.0,0.215,0.2,-1.7,1990,1,True
1990-01-23,0.3,0.239,0.4,2.7,1990,1,True
1990-01-24,0.1,0.227,0.6,6.3,1990,1,True
1990-01-25,5.3,0.239,0.7,8.3,1990,1,True
1990-01-26,1.0,0.345,0.4,2.7,1990,1,True
1990-01-27,2.8,0.345,0.5,4.5,1990,1,True
1990-01-28,17.9,0.448,0.4,2.2,1990,1,True
1990-01-29,1.3,0.475,0.2,-0.3,1990,1,True
1990-01-30,0.2,0.503,0.5,3.6,1990,1,True
1990-01-31,13.0,0.533,0.6,6.2,1990,1,True
1990-02-01,0.4,1.043,0.5,3.8,1990,2,True
1990-02-02,0.0,0.886,0.6,5.0,1990,2,True
1990-02-03,0.3,0.663,0.6,5.0,1990,2,True
1990-02-04,0.0,0.549,0.4,2.0,1990,2,True
1990-02-05,0.0,0.472,0.7,6.2,1990,2,True
1990-02-06,2.7,0.472,0.7,6.8,1990,2,True
1990-02-07,0.0,0.472,0.7,6.4,1990,2,True
1990-02-08,0.0,0.447,0.7,6.1,1990,2,True
1990-02-09,0.0,0.422,0.4,1.6,1990,2,True
1990-02-10,12.8,0.398,0.5,3.6,1990,2,True
1990-02-11,5.5,0.565,0.5,1.7,1990,2,True
1990-02-12,7.5,0.755,0.4,0.3,1990,2,True
1990-02-13,35.3,0.94,0.6,4.1,1990,2,True
1990-02-14,9.2,4.923,0.9,7.9,1990,2,True
1990-02-15,3.5,5.76,0.9,7.1,1990,2,True
1990-02-16,10.4,3.847,0.9,7.1,1990,2,True
1990-02-17,0.1,3.999,0.8,6.4,1990,2,True
1990-02-18,0.1,3.326,0.9,7.1,1990,2,True
1990-02-19,0.2,2.576,1.0,8.1,1990,2,True
1990-02-20,0.0,2.206,0.9,6.8,1990,2,True
1990-02-21,0.0,1.902,1.0,8.0,1990,2,True
1990-02-22,0.0,1.674,1.0,7.3,1990,2,True
1990-02-23,0.0,1.5,1.2,9.6,1990,2,True
1990-02-24,0.0,1.337,1.1,9.4,1990,2,True
1990-02-25,0.0,1.25,1.2,9.7,1990,2,True
1990-02-26,0.2,1.098,1.1,8.1,1990,2,True
1990-02-27,1.1,1.098,1.0,7.6,1990,2,True
1990-02-28,5.9,1.06,1.0,7.3,1990,2,True
1990-03-01,3.2,1.027,0.7,3.5,1990,3,True
1990-03-02,2.7,1.174,0.3,-2.2,1990,3,True
1990-03-03,0.0,1.098,0.2,-2.4,1990,3,True
1990-03-04,0.0,0.989,0.3,-1.3,1990,3,True
1990-03-05,0.0,0.918,0.5,0.2,1990,3,True
1990-03-06,0.0,0.886,0.7,2.9,1990,3,True
1990-03-07,0.0,0.886,0.9,4.6,1990,3,True
1990-03-08,1.5,0.853,1.2,8.0,1990,3,True
1990-03-09,0.0,0.788,1.0,5.3,1990,3,True
1990-03-10,0.0,0.636,0.9,4.6,1990,3,True
