date,P_mm,Q_mm,PET_mm,T_C
1990-01-01,48.7,8.709,9.7,1.2903225806451613
1990-02-01,95.2,45.64,22.2,6.075
1990-03-01,47.7,19.597,31.4,4.848387096774194
1990-04-01,80.4,25.526,40.3,4.723333333333333
1990-05-01,113.2,28.06,86.5,12.167741935483871
1990-06-01,118.5,19.762,95.9,13.396666666666667
1990-07-01,26.5,10.842,115.0,17.06451612903226
1990-08-01,61.5,3.493,100.8,17.03548387096774
1990-09-01,66.6,4.671,58.7,11.896666666666667
1990-10-01,99.2,8.104,39.3,10.393548387096773
1990-11-01,87.5,22.119,14.4,3.7666666666666666
1990-12-01,115.7,29.723,4.9,-1.0935483870967742
1991-01-01,26.7,53.799,7.7,0.48064516129032253
1991-02-01,53.1,33.013,10.6,-0.4
1991-03-01,73.2,49.183,34.1,5.819354838709677
1991-04-01,49.6,24.306,39.0,4.58
1991-05-01,51.1,22.012999999999998,64.5,7.670967741935484
1991-06-01,112.3,17.853,93.6,13.006666666666666
1991-07-01,60.50000000000001,9.217,117.7,17.532258064516128
1991-08-01,56.4,7.124,104.6,17.92258064516129
1991-09-01,105.7,5.544,66.9,14.126666666666667
1991-10-01,104.39999999999999,15.543000000000001,30.1,6.609677419354839
1991-11-01,97.8,30.13,13.1,2.9166666666666665
1991-12-01,43.8,25.899,6.3,-0.41935483870967744
1992-01-01,27.799999999999997,19.936,6.0,-1.1064516129032258
1992-02-01,53.2,25.363,13.5,1.4344827586206896
1992-03-01,100.1,25.526,29.400000000000002,4.319354838709677
1992-04-01,92.10000000000001,66.584,49.7,6.843333333333334
1992-05-01,113.3,27.326999999999998,89.1,12.5
1992-06-01,242.0,121.614,88.8,12.043333333333333
1992-07-01,79.1,44.705,110.7,16.370967741935484
1992-08-01,105.6,11.045,101.6,17.32903225806452
1992-09-01,69.0,8.393,58.2,11.923333333333334
1992-10-01,180.1,30.908,27.400000000000002,5.880645161290323
1992-11-01,119.89999999999999,64.31400000000001,17.8,6.15
1992-12-01,61.9,53.232,9.700000000000001,2.267741935483871
1993-01-01,24.1,20.673000000000002,11.7,2.4000000000000004
1993-02-01,21.7,12.509,9.8,-0.18214285714285713
1993-03-01,12.3,11.145,25.4,2.7483870967741932
1993-04-01,108.0,22.393,50.0,7.066666666666666
1993-05-01,113.7,29.7,82.0,11.225806451612904
1993-06-01,171.5,32.146,103.2,14.860000000000001
1993-07-01,97.3,36.032000000000004,104.3,14.996774193548386
1993-08-01,41.9,8.663,96.8,16.048387096774192
1993-09-01,198.8,19.827,55.0,10.693333333333333
1993-10-01,135.3,59.104,30.8,6.970967741935484
1993-11-01,46.8,26.887,12.8,2.31
1993-12-01,107.7,41.545,9.9,2.583870967741935
1994-01-01,138.0,133.111,8.8,0.7483870967741936
1994-02-01,110.4,84.227,13.6,1.6464285714285716
1994-03-01,36.0,53.932,35.7,6.135483870967741
1994-04-01,158.70000000000002,65.133,38.2,4.08
1994-05-01,128.2,44.707,78.7,10.619354838709677
1994-06-01,64.7,20.984,98.9,14.003333333333334
1994-07-01,68.2,6.439,122.2,18.425806451612903
1994-08-01,78.8,6.141,100.7,17.029032258064515
1994-09-01,198.4,30.86,55.6,11.036666666666667
1994-10-01,137.9,46.339,34.4,8.66451612903226
1994-11-01,136.7,89.705,19.7,6.96
1994-12-01,46.300000000000004,25.892,10.6,2.832258064516129
1995-01-01,153.3,85.69,8.3,0.24838709677419357
1995-02-01,127.5,83.695,16.6,3.582142857142857
1995-03-01,91.5,67.675,23.6,2.306451612903226
1995-04-01,96.9,43.155,45.5,6.163333333333333
1995-05-01,129.6,45.65,76.1,10.109677419354838
1995-06-01,61.1,31.785,88.3,11.97
1995-07-01,53.0,17.692,109.2,17.362068965517242
1995-09-01,145.7,13.202,50.1,9.29
1995-10-01,67.1,14.404,41.1,11.209677419354838
1995-11-01,74.3,19.199,14.0,3.496666666666667
1995-12-01,75.9,25.465,8.8,1.8193548387096774
1996-01-01,76.0,57.039,13.4,3.9741935483870967
1996-02-01,99.3,36.684,8.9,-1.0275862068965518
1996-03-01,50.3,50.092,23.5,2.0483870967741935
1996-04-01,54.6,28.976,47.6,6.33
1996-05-01,97.2,23.316,73.6,9.541935483870969
1996-06-01,81.1,14.762,99.2,14.093333333333334
1996-07-01,152.2,24.901,103.8,14.970967741935485
1996-08-01,112.4,15.405000000000001,86.2,13.890322580645162
1996-09-01,40.6,7.36,47.0,8.663333333333332
1996-10-01,76.39999999999999,11.088000000000001,31.2,7.603225806451612
1996-11-01,230.1,58.691,13.4,3.01
1996-12-01,57.3,79.15,10.2,1.8612903225806452
1997-01-01,58.1,54.678,9.1,0.7774193548387096
1997-02-01,35.5,27.666,17.6,3.75
1997-03-01,10.3,17.073,33.2,5.587096774193549
1997-04-01,25.6,8.321,46.0,6.216666666666667
1997-05-01,97.3,12.553,84.0,11.570967741935483
1997-06-01,120.8,12.75,96.5,13.5
1997-07-01,86.2,13.289,105.4,15.264516129032257
1997-08-01,112.0,7.176,105.3,18.009677419354837
1997-09-01,41.6,6.541,62.8,13.01
1997-10-01,59.5,5.235,34.4,8.225806451612904
