date,sm,quality,pass
2015-04-01,0.27752098291028326,13,AM
2015-04-01,nan,0,PM
2015-04-02,nan,0,AM
2015-04-02,nan,0,PM
2015-04-03,0.2435008402127892,13,AM
2015-04-03,nan,0,PM
2015-04-04,nan,0,AM
2015-04-04,nan,0,PM
2015-04-05,nan,0,AM
2015-04-05,0.2877273723174556,13,PM
2015-04-06,0.32106086190646094,13,AM
2015-04-06,0.30879812302806897,13,PM
2015-04-07,nan,0,AM
2015-04-07,nan,0,PM
2015-04-08,0.32050504776006583,13,AM
2015-04-08,0.30326564236433073,13,PM
2015-04-09,0.2746898095135457,13,AM
2015-04-09,nan,0,PM
2015-04-10,nan,0,AM
2015-04-10,nan,0,PM
2015-04-11,0.264213736064286,13,AM
2015-04-11,0.3072620530033753,13,PM
2015-04-12,nan,0,AM
2015-04-12,nan,0,PM
2015-04-13,nan,0,AM
2015-04-13,0.2702633265299576,13,PM
2015-04-14,0.22646813239708383,13,AM
2015-04-14,0.2632861473145736,13,PM
2015-04-15,nan,0,AM
2015-04-15,nan,0,PM
2015-04-16,0.21256172509418902,13,AM
2015-04-16,0.2138600720912969,13,PM
2015-04-17,0.16422321653659616,13,AM
2015-04-17,nan,0,PM
2015-04-18,nan,0,AM
2015-04-18,nan,0,PM
2015-04-19,0.20594140863912228,13,AM
2015-04-19,0.20982722887195018,13,PM
2015-04-20,nan,0,AM
2015-04-20,nan,0,PM
2015-04-21,nan,0,AM
2015-04-21,0.22959187671033512,13,PM
2015-04-22,0.18582497989924585,13,AM
2015-04-22,0.23080050474148453,13,PM
2015-04-23,nan,0,AM
2015-04-23,nan,0,PM
2015-04-24,0.21417506260116742,13,AM
2015-04-24,0.23382023913305303,13,PM
2015-04-25,0.1825919291020174,13,AM
2015-04-25,nan,0,PM
2015-04-26,nan,0,AM
2015-04-26,nan,0,PM
2015-04-27,0.24048048005166775,13,AM
2015-04-27,0.274348408371527,13,PM
2015-04-28,nan,0,AM
2015-04-28,nan,0,PM
2015-04-29,nan,0,AM
2015-04-29,0.24938063583246609,13,PM
2015-04-30,0.20084051661105817,13,AM
2015-04-30,0.23431585395576304,13,PM
2015-05-01,nan,0,AM
2015-05-01,nan,0,PM
2015-05-02,0.20577130412081465,13,AM
2015-05-02,0.21888430760553182,13,PM
2015-05-03,0.20177191239898937,13,AM
2015-05-03,nan,0,PM
2015-05-04,nan,0,AM
2015-05-04,nan,0,PM
2015-05-05,0.2390261640846229,13,AM
2015-05-05,0.26889411585585793,13,PM
2015-05-06,nan,0,AM
2015-05-06,nan,0,PM
2015-05-07,nan,0,AM
2015-05-07,0.19420997471567902,13,PM
2015-05-08,0.17897497245934535,13,AM
2015-05-08,0.29268795327728003,13,PM
2015-05-09,nan,0,AM
2015-05-09,nan,0,PM
2015-05-10,0.20687191667390656,13,AM
2015-05-10,0.24362103770282198,13,PM
2015-05-11,0.18002946000644196,13,AM
2015-05-11,nan,0,PM
2015-05-12,nan,0,AM
2015-05-12,nan,0,PM
2015-05-13,nan,0,AM
2015-05-13,nan,0,PM
2015-05-14,nan,0,AM
2015-05-14,nan,0,PM
2015-05-15,nan,0,AM
2015-05-15,0.18651291164327213,13,PM
2015-05-16,0.206692983480259,13,AM
2015-05-16,0.21439069328557603,13,PM
2015-05-17,nan,0,AM
2015-05-17,nan,0,PM
2015-05-18,0.18081538278711667,13,AM
2015-05-18,0.18871639068142024,13,PM
2015-05-19,0.1617562682870786,13,AM
2015-05-19,nan,0,PM
2015-05-20,nan,0,AM
2015-05-20,nan,0,PM
2015-05-21,0.1484208895371957,13,AM
2015-05-21,0.1483225400554914,13,PM
2015-05-22,nan,0,AM
2015-05-22,nan,0,PM
2015-05-23,nan,0,AM
2015-05-23,0.14956501806305986,13,PM
2015-05-24,0.1487983835013672,13,AM
2015-05-24,0.16720312880482435,13,PM
2015-05-25,nan,0,AM
2015-05-25,nan,0,PM
2015-05-26,0.20646330185972514,13,AM
2015-05-26,0.19550023262952387,13,PM
2015-05-27,0.16620583378641585,13,AM
2015-05-27,nan,0,PM
2015-05-28,nan,0,AM
2015-05-28,nan,0,PM
2015-05-29,0.1388921003911705,13,AM
2015-05-29,0.1521459633185334,13,PM
2015-05-30,nan,0,AM
2015-05-30,nan,0,PM
2015-05-31,nan,0,AM
2015-05-31,0.16069516905223313,13,PM
2015-06-01,0.11820643379758977,13,AM
2015-06-01,0.15594056957032873,13,PM
2015-06-02,nan,0,AM
2015-06-02,nan,0,PM
2015-06-03,0.11107043960513721,13,AM
2015-06-03,0.1312032603227732,13,PM
2015-06-04,0.09702243151014989,13,AM
2015-06-04,nan,0,PM
2015-06-05,nan,0,AM
2015-06-05,nan,0,PM
2015-06-06,0.11508979201608688,13,AM
2015-06-06,0.17466687540318893,13,PM
2015-06-07,nan,0,AM
